variant,device,input_shape,params_total,params_trainable,flops,gflops,peak_mem_mb,latency_mean_ms,latency_std_ms,fps
base_cnn,cuda,1x5x128x128x128,22897228,22897228,435732611072.0,435.732611072,2095.8720703125,164.77636002236977,1.6122682286844905,6.068831717512401
full,cuda,1x5x128x128x128,37084570,37084570,586328782384.0,586.328782384,2448.06494140625,1178.519915009383,9.957211764488347,0.8485219360862801
hybrid,cuda,1x5x128x128x128,45060300,45060300,612574953472.0,612.574953472,1929.0498046875,231.66094501502812,3.6752647066420603,4.316653374331737
