Method,Dice ET,Dice TC,Dice WT,ECE_brain,ACE_brain,ECE_pos,ACE_pos,HD95,NSD,AUC,AURC
3D UNet baseline,0.7467776652459975,0.8013041092065954,0.925285401160622,0.004585462618653813,0.004585549101213686,0.11209696495242587,0.11209600772268817,7.084870656666709,0.789694795694134,0.9928022289317796,0.18652936693297267
+ Temperature Scale,0.7467767628912656,0.801308016795305,0.9252843094356612,0.0025288091407393667,0.0026632984955986885,0.08709920173937445,0.08708587403099109,7.084888728191413,0.7896972770485686,0.9922559291617654,
+ MC Dropout,0.7469356430661563,0.8012321218114681,0.9251846345307976,0.0044372692149513655,0.004434259750057815,0.11043162222959403,0.11043165522527192,7.079935130858388,0.7896751455105343,0.9928478731608659,0.18611059018332848
+ TTA,0.757300485368812,0.8038259318852924,0.9284370277968838,0.003646709233720296,0.003638093644028321,0.10003335462694253,0.10003351664667247,6.201992947623907,0.7931760293139317,0.9953467411331666,0.17509911305197795
+ Post-process (et_vmin=1000),0.7747701204266724,0.8013041092065954,0.925285401160622,,,,,6.851844144210541,0.7960493073369905,0.9928022289317796,
+ TTA + Post-process (et_vmin=1000),0.7854797587667601,0.8038259318852924,0.9284370277968838,,,,,5.956025434979077,0.8009979248787182,0.9953467411331666,
+ MC Dropout + Post-process (et_vmin=1000),0.770830330472929,0.8012321218114681,0.9251846345307976,,,,,6.84743679118671,0.7959977131648485,0.9928478731608659,
+ Temp Scale + Post-process (et_vmin=1000),0.7747692180719404,0.801308016795305,0.9252843094356612,,,,,6.851862631770347,0.7960518458161315,0.9922559291617654,
