mode,tau_et,et_vmin,tc_vmin,dice_ET,dice_TC,dice_WT,n_cases,dice_mean
baseline,0.45,500,0,0.7866885465910755,0.8012353163343271,0.9252709556045614,251,0.8377316061766548
baseline,0.45,500,250,0.7858132952854292,0.7995502616214558,0.9252709556045614,251,0.8368781708371489
baseline,0.55,500,0,0.7844750623379012,0.8008460447131752,0.9252415877353625,251,0.8368542315954796
baseline,0.55,1000,0,0.7833505433734218,0.8008460447131752,0.9252415877353625,251,0.8364793919406531
baseline,0.5,500,0,0.7822658417414794,0.8013041092065954,0.9252854011606219,251,0.8362851173695655
baseline,0.55,500,250,0.7835689842928439,0.7992017801138359,0.9252415877353625,251,0.8360041173806807
baseline,0.55,1000,250,0.782382880775439,0.7992017801138359,0.9252415877353625,251,0.8356087495415458
baseline,0.45,500,500,0.7837662634497817,0.797689060992422,0.9252709556045614,251,0.8355754266822552
baseline,0.5,500,250,0.7813694210063981,0.7995843843180732,0.9252854011606219,251,0.8354130688283643
baseline,0.45,1000,0,0.7791027555905924,0.8012353163343271,0.9252709556045614,251,0.8352030091764937
baseline,0.45,1500,0,0.7777230888260288,0.8012353163343271,0.9252709556045614,251,0.8347431202549725
baseline,0.55,500,500,0.7815167739253189,0.7973357408455851,0.9252415877353625,251,0.8346980341687554
baseline,0.55,1500,0,0.7779096344147941,0.8008460447131752,0.9252415877353625,251,0.8346657556211107
baseline,0.5,1500,0,0.7773925824007843,0.8013041092065954,0.9252854011606219,251,0.8346606975893338
baseline,0.45,1000,250,0.7781579371648869,0.7995502616214558,0.9252709556045614,251,0.8343263847969681
baseline,0.55,1000,500,0.780330670407914,0.7973357408455851,0.9252415877353625,251,0.8343026663296205
baseline,0.5,500,500,0.7795720020204217,0.797960110800558,0.9252854011606219,251,0.8342725046605338
baseline,0.45,1500,250,0.7774947384373043,0.7995502616214558,0.9252709556045614,251,0.8341053185544406
baseline,0.55,1500,250,0.7776620573624118,0.7992017801138359,0.9252415877353625,251,0.8340351417372034
baseline,0.5,1500,250,0.7771352615195036,0.7995843843180732,0.9252854011606219,251,0.8340016823327329
baseline,0.5,1000,0,0.7747701204266724,0.8013041092065954,0.9252854011606219,251,0.8337865435979631
baseline,0.45,2000,0,0.773034584176026,0.8012353163343271,0.9252709556045614,251,0.8331802853716382
baseline,0.55,2000,0,0.7732217539492504,0.8008460447131752,0.9252415877353625,251,0.8331031287992627
baseline,0.5,2000,0,0.7727141094491958,0.8013041092065954,0.9252854011606219,251,0.833101206605471
baseline,0.45,1000,500,0.7761109053292394,0.797689060992422,0.9252709556045614,251,0.8330236406420743
baseline,0.5,1000,250,0.7737985007199393,0.7995843843180732,0.9252854011606219,251,0.8328894287328782
baseline,0.5,1500,500,0.7753378425335272,0.797960110800558,0.9252854011606219,251,0.8328611181649023
baseline,0.45,1500,500,0.775447706601657,0.797689060992422,0.9252709556045614,251,0.8328025743995467
baseline,0.55,1500,500,0.7756098469948868,0.7973357408455851,0.9252415877353625,251,0.8327290585252781
baseline,0.45,750,0,0.7711346281087256,0.8012353163343271,0.9252709556045614,251,0.8325469666825381
baseline,0.45,2000,250,0.7726851140307801,0.7995502616214558,0.9252709556045614,251,0.8325021104189325
