patient_id,mode,dice_ET,hd95_ET,nsd_ET,auc_ET,fpv_ET,precision_ET,recall_ET,sensitivity_ET,specificity_ET,dice_TC,hd95_TC,nsd_TC,auc_TC,fpv_TC,precision_TC,recall_TC,sensitivity_TC,specificity_TC,dice_WT,hd95_WT,nsd_WT,auc_WT,fpv_WT,precision_WT,recall_WT,sensitivity_WT,specificity_WT
BraTS2021_01416,baseline,0.7960384257368351,17.233688354492188,0.675943911075592,0.999657092527065,19.349,0.68188020978906,0.9561067822398452,0.9561067822398452,0.9978221920977616,0.8715293724693864,9.273618698120115,0.4687894880771637,0.9991305297035958,14.183,0.8688168263716749,0.8742589093752036,0.8742589093752036,0.9983920516584156,0.9314873568995522,3.1622776985168457,0.6115540862083435,0.9996304734737544,22.937,0.901310156401265,0.9637553138629712,0.9637553138629712,0.9973667848209616
BraTS2021_01416,baseline_post,0.7960384257368351,17.233688354492188,0.675943911075592,0.999657092527065,19.349,0.68188020978906,0.9561067822398452,0.9561067822398452,0.9978221920977616,0.8715293724693864,9.273618698120115,0.4687894880771637,0.9991305297035958,14.183,0.8688168263716749,0.8742589093752036,0.8742589093752036,0.9983920516584156,0.9314873568995522,3.1622776985168457,0.6115540862083435,0.9996304734737544,22.937,0.901310156401265,0.9637553138629712,0.9637553138629712,0.9973667848209616
BraTS2021_01416,mc_dropout,0.7968608744176955,17.25254249572754,0.6790155172348022,0.9996534713313218,19.172,0.6836303630363036,0.9550463368527824,0.9550463368527824,0.99784211416085,0.8713085356636804,9.273618698120115,0.4670456349849701,0.99909586675108,14.191,0.8687088298423506,0.87392384799382,0.87392384799382,0.9983911446862144,0.9319922454913409,3.1622776985168457,0.6140485405921936,0.9996174549991704,22.565,0.9027081330223212,0.9632400301809014,0.9632400301809014,0.9974094911926144
BraTS2021_01416,mc_dropout_post,0.7968608744176955,17.25254249572754,0.6790155172348022,0.9996534713313218,19.172,0.6836303630363036,0.9550463368527824,0.9550463368527824,0.99784211416085,0.8713085356636804,9.273618698120115,0.4670456349849701,0.99909586675108,14.191,0.8687088298423506,0.87392384799382,0.87392384799382,0.9983911446862144,0.9319922454913409,3.1622776985168457,0.6140485405921936,0.9996174549991704,22.565,0.9027081330223212,0.9632400301809014,0.9632400301809014,0.9974094911926144
BraTS2021_01416,tta,0.8078612806674715,15.329710006713867,0.6902691125869751,0.999707519981105,17.948,0.698383356300205,0.9580432477292636,0.9580432477292636,0.9979798802920372,0.8752969792968883,9.273618698120115,0.471461147069931,0.9992173244253056,11.852,0.8867928132730937,0.8640953808065672,0.8640953808065672,0.9986563206836032,0.9318364827143462,3.1622776985168457,0.6112760305404663,0.999619181612458,21.417,0.9067674868098,0.9583310329597526,0.9583310329597526,0.997541283973952
BraTS2021_01416,tta_post,0.8078612806674715,15.329710006713867,0.6902691125869751,0.999707519981105,17.948,0.698383356300205,0.9580432477292636,0.9580432477292636,0.9979798802920372,0.8752969792968883,9.273618698120115,0.471461147069931,0.9992173244253056,11.852,0.8867928132730937,0.8640953808065672,0.8640953808065672,0.9986563206836032,0.9318364827143462,3.1622776985168457,0.6112760305404663,0.999619181612458,21.417,0.9067674868098,0.9583310329597526,0.9583310329597526,0.997541283973952
BraTS2021_01417,baseline,0.8908033117052853,1.7320507764816284,0.9113763570785522,0.9999122274238064,3.108,0.8649459001433972,0.918254370992296,0.918254370992296,0.9996510344392404,0.9386410798267816,1.4142135381698608,0.9377323389053344,0.9999653926376018,1.684,0.9360571081409478,0.9412393570310412,0.9412393570310412,0.9998108249682732,0.8629302444935087,4.0,0.6387167572975159,0.999752933760188,16.466,0.7813860860329261,0.9634771220430548,0.9634771220430548,0.998142984341228
BraTS2021_01417,baseline_post,0.8908033117052853,1.7320507764816284,0.9113763570785522,0.9999122274238064,3.108,0.8649459001433972,0.918254370992296,0.918254370992296,0.9996510344392404,0.9386410798267816,1.4142135381698608,0.9377323389053344,0.9999653926376018,1.684,0.9360571081409478,0.9412393570310412,0.9412393570310412,0.9998108249682732,0.8629302444935087,4.0,0.6387167572975159,0.999752933760188,16.466,0.7813860860329261,0.9634771220430548,0.9634771220430548,0.998142984341228
BraTS2021_01417,mc_dropout,0.8907845244516661,1.7320507764816284,0.91161048412323,0.9998129060315292,3.094,0.8654021838430417,0.9177007888545464,0.9177007888545464,0.9996526063561808,0.9386177081162776,1.4142135381698608,0.9379938840866088,0.9999565317444024,1.674,0.9363885088919288,0.940857546485434,0.940857546485434,0.9998119483354452,0.8640565524751695,4.0,0.6430392861366272,0.9997542686338666,16.208000000000002,0.7838962147171371,0.9624785135466972,0.9624785135466972,0.9981720812706562
BraTS2021_01417,mc_dropout_post,0.8907845244516661,1.7320507764816284,0.91161048412323,0.9998129060315292,3.094,0.8654021838430417,0.9177007888545464,0.9177007888545464,0.9996526063561808,0.9386177081162776,1.4142135381698608,0.9379938840866088,0.9999565317444024,1.674,0.9363885088919288,0.940857546485434,0.940857546485434,0.9998119483354452,0.8640565524751695,4.0,0.6430392861366272,0.9997542686338666,16.208000000000002,0.7838962147171371,0.9624785135466972,0.9624785135466972,0.9981720812706562
