mode,dice_full,dice_at_cov_70,dice_at_cov_80,dice_at_cov_90
baseline,0.8244557252044049,0.835787360175723,0.8360445170666533,0.8382032883870817
tta,0.8298544816836627,0.8416868596221679,0.8488500682081054,0.8455956582013464
mc_dropout,0.8244507998028074,0.8370083930777968,0.8360700960051076,0.8390043871824263
