epoch,lr,train_loss,val_loss,val_dice_mean,val_dice_ET,val_dice_TC,val_dice_WT,time_s,best_model
69,9.299322e-05,1.2256,1.4847,0.6864,0.5727,0.6579,0.8287,66.9,0
70,9.270569e-05,1.2455,1.5188,0.6877,0.5832,0.6643,0.8156,68.5,0
71,9.241285e-05,1.2271,1.4319,0.7155,0.6072,0.6908,0.8485,68.8,0
72,9.211473e-05,1.2070,1.4141,0.7045,0.6024,0.6708,0.8403,84.6,0
73,9.181138e-05,1.3023,1.3733,0.7038,0.6078,0.6760,0.8278,84.4,0
74,9.150282e-05,1.2200,1.3318,0.7195,0.6156,0.7006,0.8424,70.2,1
75,9.118910e-05,1.2179,1.2806,0.7343,0.6370,0.7104,0.8554,70.5,1
76,9.087026e-05,1.3024,1.3308,0.7133,0.5971,0.6836,0.8593,73.0,0
77,9.054634e-05,1.1930,1.3192,0.7174,0.6259,0.6920,0.8342,70.7,0
78,9.021738e-05,1.1485,1.3154,0.7094,0.6028,0.6743,0.8511,71.4,0
79,8.988342e-05,1.1978,1.2652,0.7233,0.6128,0.6936,0.8636,71.2,0
80,8.954449e-05,1.0899,1.3071,0.7056,0.6055,0.6830,0.8281,72.5,0
81,8.920066e-05,1.1903,1.2914,0.7097,0.6019,0.6754,0.8519,68.2,0
82,8.885195e-05,1.1291,1.3094,0.7003,0.5992,0.6697,0.8321,69.2,0
83,8.849841e-05,1.1694,1.2022,0.7264,0.6094,0.6920,0.8778,69.0,0
84,8.814010e-05,1.0901,1.2060,0.7301,0.6307,0.7112,0.8485,68.3,0
85,8.777704e-05,1.2104,1.2379,0.7142,0.6019,0.6806,0.8602,67.3,0
86,8.740929e-05,1.0693,1.2125,0.7194,0.6193,0.6958,0.8430,69.1,0
87,8.703689e-05,1.1246,1.2513,0.7157,0.6128,0.6855,0.8489,68.7,0
88,8.665989e-05,1.1502,1.2233,0.7263,0.6360,0.7102,0.8328,67.3,0
89,8.627835e-05,1.1023,1.2334,0.7160,0.6199,0.6915,0.8368,67.2,0
90,8.589229e-05,1.0424,1.2105,0.7233,0.6210,0.6987,0.8501,67.6,0
91,8.550179e-05,1.0914,1.1677,0.7248,0.6318,0.7007,0.8420,67.8,0
92,8.510687e-05,1.1510,1.1398,0.7188,0.6136,0.6886,0.8542,67.3,0
93,8.470760e-05,1.1060,1.1925,0.7301,0.6312,0.7077,0.8514,67.5,0
94,8.430402e-05,1.1014,1.1801,0.7183,0.6106,0.6898,0.8544,67.2,0
95,8.389619e-05,1.1032,1.1367,0.7336,0.6386,0.7072,0.8550,67.3,0
96,8.348416e-05,1.1355,1.1062,0.7379,0.6377,0.7136,0.8624,68.3,1
97,8.306797e-05,1.1014,1.1161,0.7265,0.6148,0.7065,0.8583,68.6,0
98,8.264768e-05,1.1715,1.0647,0.7420,0.6341,0.7104,0.8814,66.9,1
99,8.222334e-05,1.1438,1.0871,0.7432,0.6479,0.7173,0.8644,67.4,1
100,8.179501e-05,1.0909,1.0871,0.7381,0.6399,0.7158,0.8585,67.6,0
101,8.136275e-05,1.1449,1.1270,0.7293,0.6398,0.6982,0.8498,67.4,0
102,8.092659e-05,1.0736,1.1241,0.7373,0.6516,0.7045,0.8557,66.4,0
103,8.048661e-05,1.0552,1.1118,0.7419,0.6481,0.7190,0.8587,68.1,0
104,8.004285e-05,1.1319,1.0422,0.7440,0.6427,0.7156,0.8737,68.2,1
105,7.959537e-05,1.0792,1.1310,0.7254,0.6246,0.7096,0.8419,68.7,0
106,7.914423e-05,1.1215,1.0732,0.7436,0.6451,0.7147,0.8710,66.9,0
107,7.868948e-05,1.0968,1.0897,0.7409,0.6576,0.7139,0.8513,66.5,0
108,7.823119e-05,1.0804,1.0720,0.7469,0.6521,0.7248,0.8638,68.1,1
109,7.776940e-05,1.1087,1.0763,0.7473,0.6657,0.7238,0.8525,66.6,1
110,7.730418e-05,1.0451,1.0960,0.7399,0.6481,0.7229,0.8486,69.6,0
111,7.683559e-05,1.1072,1.0479,0.7475,0.6432,0.7289,0.8703,66.6,1
112,7.636368e-05,1.0514,1.1119,0.7460,0.6573,0.7194,0.8613,67.1,0
113,7.588851e-05,1.0231,1.0678,0.7487,0.6506,0.7247,0.8709,68.1,1
114,7.541015e-05,1.0472,1.0566,0.7532,0.6656,0.7171,0.8769,66.6,1
115,7.492866e-05,1.0487,1.1171,0.7397,0.6452,0.7233,0.8505,66.8,0
116,7.444408e-05,1.1243,1.1380,0.7207,0.6275,0.6976,0.8371,67.1,0
117,7.395650e-05,1.0965,1.0203,0.7530,0.6582,0.7332,0.8676,68.2,0
118,7.346596e-05,1.0575,0.9866,0.7651,0.6741,0.7364,0.8848,66.7,1
119,7.297253e-05,1.0384,1.0168,0.7660,0.6867,0.7474,0.8638,67.6,1
120,7.247627e-05,1.1050,1.0847,0.7322,0.6307,0.6963,0.8697,67.4,0
121,7.197725e-05,1.0195,1.0666,0.7446,0.6659,0.7148,0.8531,67.0,0
122,7.147552e-05,1.0079,1.0556,0.7489,0.6631,0.7222,0.8615,66.2,0
123,7.097115e-05,0.9883,1.0078,0.7608,0.6702,0.7425,0.8697,68.6,0
124,7.046420e-05,1.0530,1.0004,0.7745,0.6997,0.7604,0.8634,67.8,1
125,6.995474e-05,0.9956,1.0305,0.7588,0.6735,0.7403,0.8626,67.1,0
126,6.944283e-05,1.0488,1.0453,0.7389,0.6392,0.7099,0.8676,68.2,0
127,6.892854e-05,1.0608,1.0277,0.7498,0.6505,0.7203,0.8786,67.6,0
128,6.841192e-05,1.0295,1.0652,0.7525,0.6710,0.7225,0.8638,67.9,0
129,6.789305e-05,1.0208,1.0536,0.7463,0.6534,0.7186,0.8667,67.6,0
130,6.737200e-05,1.0393,1.0894,0.7315,0.6417,0.7062,0.8468,66.8,0
131,6.684881e-05,1.0596,1.0574,0.7578,0.6807,0.7398,0.8528,68.2,0
132,6.632357e-05,1.0150,1.0379,0.7412,0.6471,0.7163,0.8601,67.5,0
133,6.579634e-05,1.0182,1.0158,0.7491,0.6564,0.7126,0.8782,67.3,0
134,6.526718e-05,1.0596,1.0061,0.7595,0.6711,0.7417,0.8657,67.5,0
135,6.473617e-05,1.0103,1.0580,0.7546,0.6642,0.7267,0.8730,69.4,0
136,6.420336e-05,1.0601,1.0191,0.7661,0.6749,0.7388,0.8845,67.5,0
137,6.366882e-05,1.0358,1.0427,0.7407,0.6455,0.7201,0.8566,68.2,0
138,6.313263e-05,1.0579,0.9997,0.7582,0.6659,0.7376,0.8712,75.2,0
139,6.259485e-05,1.0744,1.1400,0.7362,0.6562,0.7158,0.8367,76.2,0
140,6.205555e-05,1.0254,1.0502,0.7529,0.6603,0.7320,0.8665,65.1,0
141,6.151479e-05,1.1203,0.9936,0.7560,0.6601,0.7249,0.8831,66.6,0
142,6.097264e-05,1.0333,1.0060,0.7711,0.6829,0.7468,0.8838,68.4,0
143,6.042918e-05,1.0830,1.0173,0.7674,0.6881,0.7427,0.8714,68.1,0
144,5.988446e-05,1.0228,1.0194,0.7587,0.6702,0.7337,0.8723,70.3,0
145,5.933857e-05,1.1071,1.0083,0.7643,0.6814,0.7320,0.8796,70.4,0
146,5.879156e-05,1.0392,1.1018,0.7295,0.6442,0.7014,0.8430,67.0,0
147,5.824351e-05,1.0168,0.9929,0.7705,0.6869,0.7490,0.8758,69.2,0
148,5.769448e-05,1.0528,1.0139,0.7736,0.7098,0.7657,0.8453,80.9,0
149,5.714455e-05,1.0057,1.0505,0.7656,0.6911,0.7362,0.8695,73.0,0
150,5.659378e-05,1.0568,1.0383,0.7602,0.6805,0.7410,0.8592,69.7,0
151,5.604224e-05,1.0203,1.0271,0.7682,0.6950,0.7481,0.8615,67.5,0
152,5.549001e-05,1.0017,1.0189,0.7787,0.6948,0.7581,0.8832,65.4,1
153,5.493715e-05,1.0255,1.0322,0.7675,0.6848,0.7562,0.8614,67.8,0
154,5.438373e-05,0.9759,1.0998,0.7432,0.6657,0.7226,0.8413,69.2,0
155,5.382982e-05,1.0070,1.0342,0.7632,0.6801,0.7422,0.8673,68.4,0
156,5.327549e-05,1.0653,1.0368,0.7710,0.7063,0.7387,0.8681,67.3,0
157,5.272081e-05,1.0135,1.0906,0.7487,0.6709,0.7293,0.8458,68.7,0
158,5.216585e-05,0.9655,1.0076,0.7518,0.6595,0.7324,0.8634,69.3,0
159,5.161068e-05,1.0972,1.0370,0.7508,0.6703,0.7117,0.8705,76.0,0
160,5.105538e-05,0.9915,0.9961,0.7645,0.6847,0.7415,0.8673,111.3,0
161,5.050000e-05,1.0065,0.9498,0.7678,0.6729,0.7541,0.8764,82.3,0
162,4.994462e-05,1.0232,1.0111,0.7741,0.6872,0.7498,0.8851,68.4,0
163,4.938932e-05,0.9933,1.0371,0.7697,0.6910,0.7485,0.8696,72.9,0
164,4.883415e-05,0.9858,1.0368,0.7557,0.6717,0.7251,0.8704,73.5,0
165,4.827919e-05,0.9722,1.0194,0.7481,0.6554,0.7263,0.8627,67.9,0
166,4.772451e-05,0.9980,0.9970,0.7774,0.6980,0.7572,0.8769,67.2,0
167,4.717018e-05,0.9903,0.9671,0.7641,0.6746,0.7416,0.8760,66.0,0
168,4.661627e-05,1.0578,1.0445,0.7509,0.6656,0.7238,0.8632,66.8,0
169,4.606285e-05,1.0847,1.0549,0.7522,0.6582,0.7290,0.8694,67.9,0
170,4.550999e-05,1.0187,1.0290,0.7544,0.6687,0.7235,0.8709,67.2,0
171,4.495776e-05,0.9887,1.0255,0.7607,0.6892,0.7376,0.8553,66.0,0
172,4.440622e-05,0.9809,1.0285,0.7628,0.6755,0.7400,0.8729,66.6,0
173,4.385545e-05,0.9781,0.9629,0.7795,0.6926,0.7609,0.8849,67.1,1
174,4.330552e-05,0.9878,1.1188,0.7341,0.6526,0.7050,0.8448,67.3,0
175,4.275649e-05,0.9451,1.0079,0.7512,0.6673,0.7277,0.8586,67.4,0
176,4.220844e-05,1.0119,1.0716,0.7441,0.6641,0.7110,0.8572,66.7,0
177,4.166143e-05,1.0535,0.9963,0.7674,0.6952,0.7450,0.8621,65.9,0
178,4.111554e-05,0.9872,0.9942,0.7678,0.6837,0.7388,0.8810,67.3,0
179,4.057082e-05,1.0151,1.0190,0.7620,0.6638,0.7397,0.8825,67.2,0
180,4.002736e-05,1.0512,0.9680,0.7678,0.6834,0.7410,0.8789,67.2,0
181,3.948521e-05,0.9667,1.0463,0.7615,0.6890,0.7250,0.8705,67.1,0
182,3.894445e-05,0.9823,0.9735,0.7781,0.7098,0.7492,0.8753,67.2,0
183,3.840515e-05,0.9842,0.9561,0.7890,0.7069,0.7775,0.8825,67.4,1
184,3.786737e-05,1.0325,1.0362,0.7707,0.6845,0.7487,0.8791,67.3,0
