epoch,lr,train_loss,val_loss,val_dice_mean,val_dice_ET,val_dice_TC,val_dice_WT,time_s,best_model
69,9.054634e-05,1.0084,1.1879,0.7127,0.6224,0.6611,0.8546,189.1,1
70,9.022881e-05,0.9951,1.1931,0.7014,0.6200,0.6555,0.8286,189.3,0
71,8.990661e-05,1.0064,1.1814,0.7102,0.6165,0.6685,0.8456,189.4,0
72,8.957978e-05,0.9696,1.1630,0.7191,0.6343,0.6841,0.8389,189.4,1
73,8.924837e-05,0.9642,1.1032,0.7441,0.6724,0.7074,0.8527,189.5,1
74,8.891242e-05,1.0044,1.1725,0.7251,0.6537,0.6873,0.8342,189.6,0
75,8.857195e-05,0.9782,1.1535,0.7288,0.6507,0.6821,0.8537,189.2,0
76,8.822702e-05,0.9444,1.1583,0.7241,0.6370,0.6743,0.8611,189.2,0
77,8.787766e-05,0.9844,1.1219,0.7306,0.6520,0.6877,0.8522,189.6,0
78,8.752392e-05,0.9689,1.1968,0.7035,0.6179,0.6530,0.8395,190.0,0
79,8.716583e-05,1.0533,1.0899,0.7436,0.6694,0.7030,0.8585,189.7,0
80,8.680343e-05,0.9812,1.1362,0.7180,0.6405,0.6743,0.8392,189.3,0
81,8.643678e-05,0.9834,1.1014,0.7319,0.6483,0.6895,0.8581,189.5,0
82,8.606591e-05,0.9650,1.0709,0.7484,0.6639,0.7167,0.8645,189.3,1
83,8.569086e-05,0.9600,1.1199,0.7322,0.6482,0.6979,0.8504,189.1,0
84,8.531168e-05,1.0006,1.1717,0.7174,0.6358,0.6774,0.8391,189.6,0
85,8.492842e-05,0.9460,1.1208,0.7448,0.6655,0.7123,0.8565,189.4,0
86,8.454112e-05,0.9696,1.0973,0.7354,0.6613,0.6869,0.8579,189.3,0
87,8.414983e-05,0.9314,1.1152,0.7366,0.6551,0.6966,0.8582,189.5,0
88,8.375458e-05,0.9184,1.0707,0.7474,0.6797,0.7057,0.8569,189.6,0
89,8.335544e-05,1.0006,1.0926,0.7276,0.6480,0.6855,0.8493,189.3,0
90,8.295243e-05,0.9277,1.1000,0.7412,0.6646,0.7005,0.8584,189.5,0
91,8.254562e-05,0.9580,1.1138,0.7480,0.6876,0.7096,0.8467,189.6,0
92,8.213505e-05,0.9578,1.0902,0.7461,0.6819,0.7126,0.8437,189.4,0
93,8.172076e-05,0.9251,1.0760,0.7526,0.6846,0.7176,0.8557,189.3,1
94,8.130282e-05,0.9732,1.1327,0.7303,0.6593,0.6948,0.8369,189.1,0
95,8.088125e-05,0.9480,1.0452,0.7681,0.6991,0.7445,0.8606,189.6,1
96,8.045612e-05,0.9207,1.0865,0.7556,0.6853,0.7186,0.8627,189.5,0
97,8.002748e-05,0.9480,1.1152,0.7339,0.6473,0.6854,0.8691,189.3,0
98,7.959537e-05,0.9290,1.1340,0.7414,0.6728,0.7154,0.8361,189.5,0
99,7.915985e-05,0.9254,1.0270,0.7503,0.6747,0.7146,0.8617,189.6,0
100,7.872096e-05,0.9113,1.1018,0.7321,0.6626,0.6861,0.8477,189.5,0
101,7.827876e-05,0.9781,1.1592,0.7210,0.6563,0.6798,0.8269,189.4,0
102,7.783330e-05,0.8749,1.1735,0.7294,0.6601,0.6943,0.8337,189.1,0
103,7.738463e-05,0.9387,1.0858,0.7396,0.6620,0.7126,0.8443,189.7,0
104,7.693281e-05,0.9294,1.0736,0.7508,0.6769,0.7131,0.8625,189.1,0
105,7.647789e-05,0.9583,1.1110,0.7369,0.6652,0.6880,0.8576,189.7,0
106,7.601992e-05,0.8901,1.0353,0.7650,0.7016,0.7320,0.8614,189.7,0
107,7.555895e-05,0.9269,1.1019,0.7397,0.6816,0.6960,0.8413,189.4,0
108,7.509504e-05,0.9173,1.1126,0.7448,0.6770,0.7015,0.8560,189.5,0
109,7.462825e-05,0.9253,1.0473,0.7454,0.6644,0.6935,0.8784,189.4,0
110,7.415862e-05,0.8557,1.1265,0.7413,0.6710,0.6927,0.8602,189.5,0
111,7.368622e-05,0.9183,1.0670,0.7564,0.6977,0.7048,0.8667,189.3,0
112,7.321109e-05,0.9267,1.1589,0.7228,0.6492,0.6819,0.8372,189.5,0
113,7.273331e-05,0.8743,1.1214,0.7424,0.6737,0.7102,0.8432,189.3,0
114,7.225291e-05,0.9238,1.0279,0.7503,0.6708,0.7092,0.8710,189.5,0
115,7.176996e-05,0.9029,1.0685,0.7463,0.6705,0.7043,0.8641,189.2,0
116,7.128451e-05,0.8776,1.0449,0.7549,0.6871,0.7139,0.8638,189.4,0
117,7.079662e-05,0.8593,1.0614,0.7501,0.6795,0.7179,0.8529,189.4,0
118,7.030636e-05,0.9066,1.0533,0.7484,0.6667,0.7095,0.8691,189.6,0
119,6.981376e-05,0.8925,1.0453,0.7464,0.6582,0.7121,0.8689,189.5,0
120,6.931891e-05,0.8845,1.0784,0.7486,0.6695,0.7061,0.8702,189.4,0
121,6.882184e-05,0.9204,1.0693,0.7514,0.6847,0.7131,0.8565,189.4,0
122,6.832262e-05,0.8465,1.0462,0.7444,0.6714,0.6929,0.8690,189.3,0
123,6.782131e-05,0.9221,1.0583,0.7518,0.6872,0.7044,0.8637,189.6,0
124,6.731797e-05,0.8543,1.0819,0.7377,0.6668,0.6871,0.8593,189.3,0
125,6.681266e-05,0.8921,1.0644,0.7411,0.6670,0.6835,0.8728,189.6,0
126,6.630543e-05,0.8900,1.0677,0.7442,0.6712,0.7037,0.8576,189.5,0
127,6.579634e-05,0.8849,1.2056,0.7039,0.6297,0.6426,0.8396,189.6,0
128,6.528546e-05,0.8270,1.0657,0.7468,0.6693,0.6961,0.8750,189.4,0
129,6.477285e-05,0.8398,1.0669,0.7554,0.6906,0.7149,0.8606,189.6,0
130,6.425856e-05,0.8884,1.0378,0.7581,0.6940,0.7077,0.8726,189.2,0
131,6.374265e-05,0.8499,1.0713,0.7675,0.7113,0.7381,0.8531,189.8,0
132,6.322519e-05,0.8810,1.0735,0.7620,0.6914,0.7206,0.8740,189.3,0
133,6.270624e-05,0.8931,0.9886,0.7609,0.6931,0.7069,0.8828,189.7,0
134,6.218586e-05,0.8763,1.0179,0.7637,0.6966,0.7327,0.8619,189.2,0
135,6.166410e-05,0.9166,1.0978,0.7554,0.7035,0.7145,0.8482,189.6,0
136,6.114104e-05,0.8597,0.9534,0.7798,0.7153,0.7340,0.8903,189.5,1
137,6.061672e-05,0.8052,1.0496,0.7578,0.6913,0.7074,0.8747,189.8,0
138,6.009122e-05,0.8999,1.0578,0.7489,0.6781,0.6969,0.8718,189.5,0
139,5.956459e-05,0.8710,1.0318,0.7591,0.6950,0.7197,0.8626,189.4,0
140,5.903690e-05,0.8829,1.0972,0.7453,0.6782,0.7027,0.8552,189.3,0
141,5.850821e-05,0.8523,1.0598,0.7606,0.6989,0.7164,0.8666,189.6,0
142,5.797858e-05,0.8859,1.1214,0.7504,0.6841,0.7040,0.8629,189.6,0
143,5.744807e-05,0.8972,1.0783,0.7435,0.6751,0.7010,0.8544,189.4,0
144,5.691674e-05,0.9063,1.0006,0.7717,0.7156,0.7312,0.8684,189.3,0
145,5.638466e-05,0.8925,1.0820,0.7442,0.6795,0.6869,0.8661,189.3,0
146,5.585189e-05,0.8666,1.0625,0.7564,0.6972,0.7192,0.8526,189.3,0
147,5.531849e-05,0.8358,1.0425,0.7544,0.6948,0.7067,0.8618,189.1,0
148,5.478453e-05,0.8787,1.1019,0.7668,0.7139,0.7306,0.8558,189.1,0
149,5.425007e-05,0.8629,1.1381,0.7510,0.6932,0.7127,0.8472,189.5,0
150,5.371516e-05,0.8961,1.0642,0.7687,0.7187,0.7356,0.8517,189.4,0
151,5.317988e-05,0.8351,1.0782,0.7587,0.6959,0.7209,0.8592,189.1,0
152,5.264428e-05,0.8579,1.0836,0.7483,0.6941,0.7014,0.8495,189.3,0
153,5.210843e-05,0.8696,1.0660,0.7700,0.7086,0.7193,0.8819,189.0,0
154,5.157239e-05,0.8636,1.0267,0.7404,0.6631,0.6860,0.8720,189.2,0
155,5.103623e-05,0.8631,1.0379,0.7608,0.6981,0.7130,0.8712,189.7,0
156,5.050000e-05,0.8678,1.1064,0.7511,0.6865,0.7113,0.8556,189.6,0
157,4.996377e-05,0.8886,1.0467,0.7570,0.6960,0.7181,0.8570,189.4,0
158,4.942761e-05,0.8932,1.0475,0.7560,0.6870,0.7158,0.8653,189.6,0
159,4.889157e-05,0.8489,1.0685,0.7583,0.6988,0.7196,0.8564,189.3,0
160,4.835572e-05,0.8588,1.0316,0.7535,0.6806,0.7141,0.8660,189.4,0
161,4.782012e-05,0.8344,1.1422,0.7202,0.6528,0.6772,0.8304,189.5,0
162,4.728484e-05,0.8775,1.0361,0.7664,0.7088,0.7252,0.8650,189.9,0
163,4.674993e-05,0.8970,1.0353,0.7600,0.6888,0.7148,0.8764,189.3,0
164,4.621547e-05,0.8294,1.0932,0.7562,0.6890,0.7171,0.8625,189.6,0
165,4.568151e-05,0.8327,1.0364,0.7683,0.7113,0.7228,0.8707,189.1,0
166,4.514811e-05,0.7924,1.0284,0.7645,0.7106,0.7148,0.8680,189.8,0
167,4.461534e-05,0.8479,0.9850,0.7693,0.6982,0.7340,0.8756,189.2,0
168,4.408326e-05,0.8385,0.9617,0.7738,0.6992,0.7340,0.8881,189.5,0
169,4.355193e-05,0.8022,0.9709,0.7730,0.7150,0.7249,0.8790,189.6,0
170,4.302142e-05,0.8581,1.0009,0.7688,0.7007,0.7228,0.8827,189.7,0
171,4.249179e-05,0.8944,1.0696,0.7552,0.6941,0.7072,0.8644,189.4,0
172,4.196310e-05,0.8581,1.0796,0.7420,0.6779,0.6906,0.8574,189.4,0
173,4.143541e-05,0.8389,0.9688,0.7781,0.7051,0.7390,0.8902,189.4,0
174,4.090878e-05,0.8347,1.0534,0.7418,0.6677,0.6903,0.8675,189.6,0
175,4.038328e-05,0.8422,1.0250,0.7704,0.7201,0.7339,0.8572,189.3,0
176,3.985896e-05,0.7958,1.0540,0.7581,0.6922,0.7211,0.8611,189.8,0
177,3.933590e-05,0.8426,1.0197,0.7482,0.6831,0.7176,0.8440,189.1,0
178,3.881414e-05,0.8809,1.0535,0.7485,0.6827,0.7146,0.8484,189.5,0
179,3.829376e-05,0.8159,1.1232,0.7383,0.6774,0.6847,0.8529,189.2,0
180,3.777481e-05,0.8098,0.9559,0.7693,0.6997,0.7367,0.8715,189.4,0
181,3.725735e-05,0.8870,1.1074,0.7557,0.6987,0.7252,0.8431,189.3,0
